Campaign,Ad Group,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Status
CONV_SEARCH_AU_EASTBALI_20260322,SEARCH_EAST_PHRASE,https://balitatittour.com/east-bali-4d3n,East Bali 4D/3N Tours,Explore Amed & Candidasa,Hidden Waterfalls Tour,Private East Bali Trips,Tirta Gangga Visits,Sunrise & Waterfall Combo,Local Guides in East Bali,Snorkel Amed Today,Book East Bali Now,Small Group Tours Bali,Tailor-Made East Bali,Best East Bali Experiences,Transfers & Guide Included,Authentic Balinese Villages,4 Day East Bali Itineraries,4D3N East Bali itineraries with local guides private transfers and waterfalls.,Tailor-made Amed & Tirta Gangga tours - flexible pickup & expert guides.,Small groups or private options; book an unforgettable east Bali journey.,Sunrise treks snorkeling & hidden cascades - fully planned stress-free.,Enabled
CONV_SEARCH_AU_WATERFALL_20260322,SEARCH_WATERFALL_PHRASE,https://balitatittour.com/waterfall-tours,Hidden Waterfall Tours,Bali Waterfall Trekking,Visit Sekumpul & More,Swim in Secret Cascades,Guided Waterfall Hikes,Private Waterfall Trips,Off-the-Beaten-Path Bali,Photo-Friendly Waterfalls,Full-Day Waterfall Trips,Small Group Waterfall Hikes,Waterfall Pickup & Transport,Rice Terraces & Waterfalls,Waterfall Adventure Bali,Local Waterfall Experts,Book Waterfall Hikes Now,Guided hikes to Bali's best hidden waterfalls - swims photos and local stories.,Private or small group options with transport and English-speaking guides.,Explore Sekumpul Tibumana and other secret falls off the tourist trail.,Safe hikes for all levels; bring swimwear and a sense of adventure.,Enabled
CONV_SEARCH_AU_SUNRISE_20260322,SEARCH_SUNRISE_PHRASE,https://balitatittour.com/sunrise-treks,Sunrise Trekking Bali,Mount Batur Sunrise Hike,Early Morning Trek & Views,Sunrise Photo Tours Bali,Sunrise Trek + Breakfast,Safe Guided Sunrise Hikes,Pre-Dawn Pickup Included,Spectacular Island Sunrises,Mount Agung Sunrise Trips,Private Sunrise Treks,Small-Group Sunrise Hikes,Summit Coffee at Sunrise,Book Sunrise Trek Now,Sunrise Views & Breakfast,Experienced Local Guides,Pre-dawn pickup guided sunrise hike and breakfast on the summit. Book now.,Safe guided sunrise treks for early risers - epic island views guaranteed.,Private or small group options; transport and permits handled.,Perfect for photographers and adventure travelers.,Enabled
CONV_SEARCH_AU_PRIVATE_20260322,SEARCH_PRIVATE_EXACT,https://balitatittour.com/private-tours,Private Bali Tours,Private Guide & Driver,Luxury Private Tours,Tailor-Made Private Trips,Private Waterfall Visits,Private Sunrise Treks,Family Private Tours,Private Transfers Included,Custom Private Itineraries,Private Day Trips Bali,VIP Bali Travel Planner,Local Private Guides,Flexible Private Packages,Private Snorkel & Hike,Book Private Tour Now,Private guides and vehicles for a fully tailored Bali experience.,Build the trip you want - private waterfalls treks & cultural stops.,Flexible start times and family-friendly private options.,Book private tours with vetted local experts.,Enabled
CONV_SEARCH_AU_CUSTOM_20260322,SEARCH_CUSTOM_PHRASE,https://balitatittour.com/custom-itinerary,Tailor-Made Bali Tours,Build Your Bali Trip,Custom 4D3N Itineraries,Personal Bali Travel Planner,Bespoke Bali Experiences,Create Your Bali Adventure,Mix & Match Activities,Custom Waterfall & Trekking,Handcrafted Bali Packages,Flexible Dates & Pickup,Sample Itinerary Free,Travel Planner For Bali,Custom Family & Group Trips,Start With A Free Quote,Tailored Tours Local Experts,Create a bespoke Bali itinerary - waterfalls treks cultural stops and more.,Flexible cancellations local guides private transfers available.,Family couple or solo trip planning - every detail handled.,Start with a free enquiry and get a personalized sample itinerary.,Enabled
CONV_SEARCH_AU_FAMILY_20260322,SEARCH_FAMILY_PHRASE,https://balitatittour.com/family-tours,Family-Friendly Bali Tours,Kids-Friendly Waterfall Trips,Easy Hikes For Families,Family Sunrise Treks,Private Family Itineraries,Safe Family Activities Bali,Family East Bali Tours,Comfortable Family Transfers,Child-Safe Guides,Family Snorkel Trips,Tailored For All Ages,Family Cultural Tours,Quiet Beaches & Pools,Baby & Kid Friendly Tours,Book Family Tour Now,Family-tailored itineraries with kid-safe guides and gentle hikes.,Private transfers flexible pacing and activities for all ages.,Small groups and private family options for safer travel.,Book family-friendly waterfall and snorkeling days.,Enabled
CONV_SEARCH_AU_BOOKING_20260322,SEARCH_BOOKING_PHRASE,https://balitatittour.com/book,Book Bali Tours Today,Instant Tour Booking,Secure Your Bali Dates,Professional Bali Planner,Enquire Reserve Now,Fast Booking Confirmation,Private Transfers Included,Small Group Options,Sunrise Treks Available,Waterfall Day Trips,Custom 4D3N Packages,Local English Guides,24 7 Local Support,Flexible Cancellation,Best Rates Bali,Quick booking for Bali tours with instant confirmation,Private or small group options with transfers included,Contact us for a sample itinerary today,Phone and form support 24 7,Enabled
CONV_SEARCH_AU_BRAND_20260322,SEARCH_BRAND_EXACT,https://balitatittour.com,BalitatitTour,Trusted Bali Travel Planner,Custom Bali Tours,Private Bali Guides,Book BalitatitTour Now,Local Expert Guides,Authentic Bali Experiences,4D3N East Bali Tours,Hidden Waterfall Tours,Sunrise Trekking Bali,Family Friendly Tours,Tailor Made Itineraries,Flexible Dates Available,Instant Booking Confirmation,Vetted Local Guides,Personalized Bali tours and local guides,Fast booking and 24 7 support,Free sample itinerary on request,Secure your Bali trip today,Enabled
CONV_SEARCH_AU_SUNRISE_20260322,SEARCH_SUNRISE_PHRASE,https://balitatittour.com/sunrise-treks,Sunrise Trek Bali,Mount Batur Sunrise Hike,Pre Dawn Pickup Included,Summit Breakfast Included,Private Sunrise Treks,Small Group Sunrise Hikes,Experienced Local Guides,Safe Guided Sunrise Hikes,Spectacular Island Views,Sunrise Photo Tours Bali,Book Sunrise Trek Now,Sunrise Trek Packages,Flexible Start Times,No Hidden Fees,Trusted Bali Planner,Pre dawn pickup guided hike and breakfast on the summit,Experience epic island sunrises with experienced local guides and safe routes,Private and small group options with transfers included,Perfect for photographers and adventure travelers,Enabled
CONV_SEARCH_AU_FAMILY_20260322,SEARCH_FAMILY_PHRASE,https://balitatittour.com/family-tours,Family Bali Tours Today,Kids Friendly Bali Trips,Private Family Day Tour,Easy Pace Family Tours,Safe Family Activities,Comfortable Private Car,Local Family Tour Guide,Waterfalls For Families,Snorkeling For Kids,Book Family Tour Now,Flexible Family Schedule,All Ages Welcome,Trusted Family Operator,Custom Family Itinerary,Stress Free Bali Holiday,Plan family friendly Bali tours with local guides and safe routes,Private transfers and flexible pacing for children and parents,Choose easy hikes beaches and cultural stops in one day,Get quick quotes and confirm your family dates today,Enabled
CONV_SEARCH_AU_BOOKING_20260322,SEARCH_BOOKING_PHRASE,https://balitatittour.com/book,Book Bali Package Fast,Check Dates Instantly,Reserve Your Tour Slot,Secure Booking In Minutes,Book Private Bali Tour,Lock Price Today,Direct WhatsApp Booking,Fast Confirmation Reply,Book Sunrise Trek Now,Book Waterfall Tour Now,Book Family Bali Tour,Reserve East Bali Trip,Simple Booking Process,Trusted Local Planner,No Hidden Booking Fees,Confirm your Bali itinerary quickly with direct local support,Book private or small group tours with flexible travel dates,Use form or WhatsApp to reserve tours and receive fast confirmation,Start your booking now and secure preferred tour times,Enabled
CONV_SEARCH_AU_BRAND_20260322,SEARCH_BRAND_EXACT,https://balitatittour.com,BalitatitTour Official,Premium Bali Trip Planner,Verified Local Team,Tailored Bali Experiences,Book With Local Experts,Private Guide Specialists,Trusted Bali Itineraries,Curated East Bali Tours,Luxury Comfort Transfers,Priority Booking Support,Bespoke Family Tours,Handpicked Tour Routes,Direct Planner Contact,Fast Quote Turnaround,Secure Booking Process,Plan Bali with a trusted local planner and premium support,Get tailored itineraries with private guides and smooth transfers,Receive fast responses and clear pricing for every tour request,Book confidently with verified local experts and flexible dates,Enabled
